channel,Zizaran,Mathil,Crouching_Tuna,empyriangaming,grimro,ghazzytv,Pohx,CaptainLance9,mbXtreme,Big Ducks,subtractem,Jungroan,AsmodeusStream,Palsteron,KobeBlackMamba,ruetoo,quin69,Ben_,Imexile,Ventrua,Paak_HC
Zizaran,56347,10401,2391,6030,1866,5372,3882,663,2427,1750,3489,3715,250,1972,3617,1651,8178,7015,3411,1242,671
Mathil,10401,41576,2353,5170,1634,4492,3153,709,2258,1209,2683,3612,210,1729,3461,1711,7600,6138,3074,1231,647
Crouching_Tuna,2391,2353,15149,2643,2831,3448,2288,941,1609,967,2648,4811,284,2929,4532,3163,1646,4083,2801,1433,718
empyriangaming,6030,5170,2643,27512,1842,4371,2786,755,2599,992,2597,3382,239,1918,4384,1817,3508,4844,2590,1073,510
grimro,1866,1634,2831,1842,13061,2838,1821,785,1133,851,2178,3573,217,1939,3124,1982,1329,3092,1947,937,489
ghazzytv,5372,4492,3448,4371,2838,27849,4096,1099,2534,1618,3676,4548,326,2704,4868,2358,3126,5484,3039,1453,807
Pohx,3882,3153,2288,2786,1821,4096,22094,1244,1504,1209,3115,3770,254,2330,3327,1843,2305,4364,2798,1379,733
CaptainLance9,663,709,941,755,785,1099,1244,5200,603,402,1331,1944,145,1272,1513,1175,504,1345,932,565,319
mbXtreme,2427,2258,1609,2599,1133,2534,1504,603,11343,695,1390,1815,158,1279,2199,1074,1492,2032,1119,571,304
Big Ducks,1750,1209,967,992,851,1618,1209,402,695,6869,1544,1228,180,1112,1200,647,829,1316,808,461,271
subtractem,3489,2683,2648,2597,2178,3676,3115,1331,1390,1544,17920,4081,379,3265,3769,2132,1683,3910,2397,1184,699
Jungroan,3715,3612,4811,3382,3573,4548,3770,1944,1815,1228,4081,28926,410,3988,7912,5827,2761,8480,6551,3255,1826
AsmodeusStream,250,210,284,239,217,326,254,145,158,180,379,410,1318,412,423,216,160,369,269,162,89
Palsteron,1972,1729,2929,1918,1939,2704,2330,1272,1279,1112,3265,3988,412,12378,3790,2278,1147,3213,2325,1236,707
KobeBlackMamba,3617,3461,4532,4384,3124,4868,3327,1513,2199,1200,3769,7912,423,3790,24154,4421,2478,6474,4506,2029,1037
ruetoo,1651,1711,3163,1817,1982,2358,1843,1175,1074,647,2132,5827,216,2278,4421,13025,1342,3750,2896,1607,801
quin69,8178,7600,1646,3508,1329,3126,2305,504,1492,829,1683,2761,160,1147,2478,1342,105446,4644,2327,959,496
Ben_,7015,6138,4083,4844,3092,5484,4364,1345,2032,1316,3910,8480,369,3213,6474,3750,4644,40578,8860,2858,1397
Imexile,3411,3074,2801,2590,1947,3039,2798,932,1119,808,2397,6551,269,2325,4506,2896,2327,8860,19521,2988,1558
Ventrua,1242,1231,1433,1073,937,1453,1379,565,571,461,1184,3255,162,1236,2029,1607,959,2858,2988,7136,1256
Paak_HC,671,647,718,510,489,807,733,319,304,271,699,1826,89,707,1037,801,496,1397,1558,1256,3785
