areaCode,areaName,areaType,date,cases,deaths,firstVacc,secondVacc,thirdVacc
E12000001,North East,region,24/04/2022,489,0,86,354,570
E12000001,North East,region,23/04/2022,585,0,118,438,615
E12000001,North East,region,22/04/2022,725,1,196,655,872
E12000001,North East,region,21/04/2022,887,9,159,443,755
E12000001,North East,region,20/04/2022,951,5,203,589,863
E12000001,North East,region,19/04/2022,1130,5,127,342,488
E12000001,North East,region,18/04/2022,1113,8,60,174,198
E12000001,North East,region,17/04/2022,960,10,9,73,80
E12000001,North East,region,16/04/2022,949,17,147,439,673
E12000001,North East,region,15/04/2022,937,13,109,298,322
E12000001,North East,region,14/04/2022,1134,9,155,391,645
E12000001,North East,region,13/04/2022,1372,13,144,459,725
E12000001,North East,region,12/04/2022,1438,7,154,350,674
E12000001,North East,region,11/04/2022,1626,14,128,441,537
E12000001,North East,region,10/04/2022,1307,8,131,468,564
E12000001,North East,region,09/04/2022,1193,12,157,495,682
E12000001,North East,region,08/04/2022,1368,17,190,490,807
E12000001,North East,region,07/04/2022,1693,7,139,327,669
E12000001,North East,region,06/04/2022,1965,11,138,300,665
E12000001,North East,region,05/04/2022,2202,23,143,238,508
E12000001,North East,region,04/04/2022,2255,12,94,294,426
E12000001,North East,region,03/04/2022,1919,13,105,346,391
E12000001,North East,region,02/04/2022,1561,11,190,527,661
E12000001,North East,region,01/04/2022,2028,14,131,348,602
E12000001,North East,region,31/03/2022,2297,10,181,475,489
E12000001,North East,region,30/03/2022,3149,10,150,472,716
E12000001,North East,region,29/03/2022,3328,12,160,392,564
E12000001,North East,region,28/03/2022,3949,7,130,408,470
E12000001,North East,region,27/03/2022,2749,10,74,315,407
E12000001,North East,region,26/03/2022,2374,9,153,484,555
E12000001,North East,region,25/03/2022,2622,9,165,490,594
E12000001,North East,region,24/03/2022,3002,9,159,602,667
E12000001,North East,region,23/03/2022,3420,6,186,609,847
E12000001,North East,region,22/03/2022,3660,14,248,524,601
E12000001,North East,region,21/03/2022,3754,5,119,404,532
